serie,idade,genero,cor_raca,estado_civil,renda_per_capita,trabalha,acesso_internet,possui_computador,tipo_escola_origem,distorcao_idade_serie,assistencia_pe_de_meia,nota_media,frequencia,media_atividades,taxa_entrega_atividades,reprovacoes,situacao
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,76.7,6.1,50.5,0,Em Risco
3,20,Masculino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Nao,7.1,90.8,3.5,40.3,1,Em Risco
3,17,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.0,83.4,7.2,73.0,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Nao,7.0,96.8,5.9,54.5,0,Em Risco
1,18,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Sim,Nao,3.0,79.4,2.6,60.3,1,Reprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.4,84.4,4.6,61.8,1,Em Risco
1,16,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,9.3,100.0,6.2,62.2,0,Aprovado
3,20,Feminino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,5.1,81.9,4.2,66.2,1,Em Risco
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Sim,8.6,97.1,9.4,92.9,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Nao,5.2,79.9,4.7,61.2,1,Em Risco
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.1,84.8,6.3,80.6,1,Em Risco
3,17,Masculino,Parda,Outro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.1,96.0,6.6,76.6,0,Aprovado
3,17,Feminino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,73.3,6.0,53.5,1,Em Risco
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.9,82.9,6.2,64.8,1,Aprovado
1,15,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Privada,Nao,Sim,5.3,81.8,6.5,83.2,1,Em Risco
1,15,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.0,83.4,5.6,64.5,2,Em Risco
1,17,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Sim,Nao,5.1,74.3,5.8,61.8,1,Reprovado
2,16,Feminino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,6.1,89.9,3.3,28.9,0,Em Risco
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.2,83.3,5.8,69.7,0,Aprovado
1,18,Masculino,Preta,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Sim,Nao,7.3,79.2,6.0,60.7,1,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.6,98.7,8.7,93.3,0,Aprovado
1,15,Feminino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.1,83.7,6.9,62.9,0,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,6.8,90.0,6.7,89.4,0,Aprovado
1,17,Feminino,Branca,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,4.4,81.2,4.5,41.3,1,Reprovado
2,19,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Sim,Nao,5.5,81.1,3.4,51.2,1,Em Risco
3,17,Masculino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,78.6,5.1,48.8,0,Reprovado
1,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,7.6,88.5,8.8,72.7,0,Aprovado
2,18,Feminino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,4.1,80.1,5.3,77.7,1,Reprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Nao,3.5,63.5,2.0,36.0,1,Reprovado
1,18,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Privada,Sim,Nao,6.6,92.1,6.2,70.7,1,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Nao,Sim,6.6,83.3,5.7,67.5,0,Aprovado
1,15,Masculino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,6.6,81.3,5.4,42.2,1,Em Risco
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.5,91.9,6.0,64.6,0,Aprovado
3,17,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.6,95.3,8.7,93.0,0,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.9,92.8,6.5,81.1,1,Aprovado
3,17,Feminino,Branca,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.1,86.4,7.9,74.5,2,Aprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,79.6,5.9,58.0,1,Em Risco
1,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,9.3,95.2,8.7,94.3,0,Aprovado
2,20,Feminino,Branca,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Sim,Nao,5.6,82.7,5.1,61.9,1,Reprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Nao,Sim,Privada,Nao,Sim,6.2,83.6,6.1,46.3,0,Em Risco
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,8.6,93.5,6.5,60.0,0,Aprovado
2,19,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Sim,Publica,Sim,Sim,5.4,83.3,5.3,43.4,1,Reprovado
1,15,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Privada,Nao,Nao,7.4,86.0,4.2,26.4,0,Aprovado
